hashtag,tweet_indices
##,[854]
#'s,[887 1176]
#1,[20 149 286 628 966]
#1,[628]
"#2016""",[1222]
#2A,[245 246 673 675]
#2A!,[245]
#60Minutes,[472]
#ADA,[95]
#AIDSFreeGeneration.,[470]
#AIPAC2016,[905]
#ALConvention2016,[159]
#APAHM,[733]
#AZ,[901 902 906 918]
#AZPrimary,[901 902 906]
#ActOnClimate,[661 791]
#ActOnClimate.,[791]
#AlwaysTrump,[213 1018]
"#AmericaFIRST.""",[680]
#AmericaFirst,[22 25 99 100 101 104 112 115 119 121 122 126 127 142 143 150 151 153 154 160 161 166 182 197 424 425 431 435 439 441 502 505 509 511 512 513 514 515 517 518 543 578 580 581 582 583 584 585 587 593 594 595 601 602 603 604 614]
#AmericaFirst!,[160]
#AmericaGreatAgain.,[1189]
#Arizona:,[904]
#ArizonaPrimary,[901 902]
#ArmedForcesDay,[668]
#ArmyBDay,[597]
#AsLongAsItTakes,[560]
#Benghazi.,[34]
#BikersForTrump,[1056]
#BlackMenForBernie,[180]
#BlackWomensEqualPay,[205]
#BlacksForTrump,[180]
#Brexit,[547]
#BrexitVote,[546 548 549 550]
#BrexitVote,[546]
#Brussels,[903]
#BuildTheWall,[196]
#Bush,[1253]
#CA4Trump!,[640]
#CAPrimary,[625 632]
#CBNNews,[1222]
#CNN,[931]
#CTPrimary,[776]
#Caribbean,[642]
#Carrier,[1096]
#CaucusForTrump,[976 1142 1143 1144 1145 1146 1147 1148]
#ChangeAgents,[674]
#Charleston9,[586]
#CincoDeMayo!,[713]
#CitizensUnited,[442 473]
#CitizensUnited.,[473]
#Clinton,[393 397 554]
#ClintonKaine,[393 397]
#CoastGuardDay,[268]
#Colbert,[1083]
#CommanderInChiefForum,[129]
#CommonCore,[1114]
#CommonLaw,[1201]
#CreatorsAskHRC,[524 525]
#CripTheVote,[95]
#CrookedHillary,[187 193 259 279 287 293 484 485 487 493 494 526 535 556]
#CrookedHillary!,[493]
#CrookedHillary's,[193]
#Cruz,[1139 1202]
#CruzFraud,[1139]
#DACA,[230]
#DDay,[626 627]
#DDay,[626]
#DEPrimary,[776]
#DNC,[306 318]
#DNCinPHL,[318]
#DavidCameron,[1254]
#DebateNight,[22 24 28 33 37 39 41 45 48 49 52 54 55 57 65 71 74 75 76 77 78 79 80 81 82 83 84 86 87 88]
#Debates2016,[11 25 26 34 43 44 58 61 64 66 69 73 85 89]
#Debates2016?,[11]
#Debate…,[50]
#Decision2016,[629]
#DeclareYourAmbition,[92]
#DefendtheSecond,[245]
#DemConvention,[257 277 278 299 302 322 327 340 359 365 371 382 386 387]
#DemConvention.,[257 387]
#DemConvention:,[327 340 365 371 382]
#DemPlatform,[539 540 541 542]
#DemocraticSitIn.,[551]
#DemsInPHL,[325 345 346]
#DemsInPhilly,[300 301 302 304 307 308 312 314 315 316 317 319 321 328 329 334 336 337 338 347 348 349 350 351 352 353 354 355 356 357 358 360 361 362 363 364 366 367 368 369 370 372 373 374 375 376 377 378 379 380 381]
"#DemsInPhilly""",[307]
#DemsinPHL,[341]
#DemsinPhilly,[318 326]
"#Derp""",[892]
#DisarmHate,[562 572 573]
#DivoDeJuarez,[173]
#Diwali,[204]
#Donald,[860 952]
#DonaldTrump,[860]
#ECONOMY,[1218]
#EarthDay,[790]
#EastVillage.,[816]
#EauClaire!,[876]
#ElectionDay:,[245]
#Elkhart,[630]
#EndCommonCore,[942]
#EndGunViolence,[562]
#Enjoy!,[185]
#Enough,[592]
#EstoyConElla,[771 777]
"#Excellent""",[1190]
#FAIL👎#Politician,[1006]
